Time_s,GT_Amplitude,Measured_Amplitude,Frequency_Hz,GT_PSD_dBHz,Measured_PSD_dBHz
0.068,-0.262815759196201,-0.0215102230359244,33.203125,-52.3575975350776,-59.8898866501011
0.069,-0.215073470882811,-0.0640902766301348,33.69140625,-52.9121396137514,-61.5514737793146
0.07,-0.151775203843276,-0.123652399880561,34.1796875,-52.8517231840171,-60.4165948272117
0.071,-0.0855100519236505,-0.170102744839135,34.66796875,-48.9957545287584,-56.6660734747781
0.072,-0.0290768618809135,-0.179802662898445,35.15625,-45.951210930265,-53.6603745240691
0.073,0.00811350070334493,-0.144260660172671,35.64453125,-46.0433487488684,-53.4525705449907
0.074,0.0225171680177128,-0.0730370893066621,36.1328125,-45.588361033497,-52.325426146672
0.075,0.0169853752024533,0.0105285497747886,36.62109375,-46.1449032240208,-52.6584651974757
0.076,-0.0008141953985571,0.0789318389441814,37.109375,-49.6189869452304,-56.6561875547238
0.077,-0.021475429486861,0.111106127031046,37.59765625,-52.254854831036,-60.5144681071812
0.078,-0.0372765122161862,0.099343467228677,38.0859375,-51.5386194623979,-58.4212772077713
0.079,-0.0446852963282054,0.049855719391808,38.57421875,-49.9623680485784,-56.15624662704
0.08,-0.0450514299438813,-0.0225230481848857,39.0625,-47.0898708980706,-54.3056201660825
0.081,-0.0432889224103116,-0.102312151307979,39.55078125,-47.5609037215381,-55.1255479127558
0.082,-0.0451370383801923,-0.180012071311767,40.0390625,-50.0496133309061,-56.9128032686315
0.083,-0.0541605970094742,-0.254455018236226,40.52734375,-50.2184732974846,-57.1912298911561
0.084,-0.0697576654190318,-0.330051762526078,41.015625,-47.4710455908941,-54.8518325432405
0.085,-0.0869972803649524,-0.410269257171582,41.50390625,-47.0523132175134,-54.4508901678283
0.086,-0.0982957925799171,-0.49034381560217,41.9921875,-49.2050209741237,-56.3429581980311
0.087,-0.0961623223138641,-0.552989451685768,42.48046875,-50.8486649943451,-57.2223765142807
0.088,-0.0758892696007732,-0.570237134863363,42.96875,-51.3294949939736,-58.7851524951498
0.089,-0.037240813838372,-0.51220095510688,43.45703125,-51.176633550195,-58.5033379750488
0.09,0.0153061998867484,-0.360008505216674,43.9453125,-51.1445931620766,-57.5833309135248
0.091,0.0736941470702576,-0.117252077012321,44.43359375,-50.1894765253878,-56.8860249258395
0.092,0.128353243529554,0.185720459460588,44.921875,-49.1190962311429,-56.8911687049278
0.093,0.170583029909445,0.497236495392625,45.41015625,-48.4942809672301,-57.2437656421809
0.094,0.194573672511154,0.757722631286571,45.8984375,-49.033287590126,-57.5147255525134
0.095,0.198499632713486,0.916390854399773,46.38671875,-50.0743757250852,-57.4280806873183
0.096,0.184411739079041,0.945709813685273,46.875,-49.7133274562827,-56.1441413829469
0.097,0.157071946387115,0.849123378338872,47.36328125,-48.0258409769667,-55.1265537292822
0.098,0.122237147883413,0.6594228219442,47.8515625,-47.6250646154401,-55.1370015983048
0.099,0.0850319912252435,0.428028688403156,48.33984375,-49.2632230669855,-57.5307535818844
0.1,0.0489240436841978,0.208785054031521,48.828125,-54.5702383353523,-63.5411943537561
0.101,0.0155323246721777,0.0421975582239716,49.31640625,-59.7275048876309,-68.5995696955404
0.102,-0.0148068644352707,-0.0543203912978556,49.8046875,-62.6034007825746,-74.9070962497624
0.103,-0.042046340144293,-0.0876194465843097,50.29296875,-61.5920052354979,-71.5021777552603
0.104,-0.0654867007216803,-0.0823209460733534,50.78125,-55.0384346533999,-63.1586532271186
0.105,-0.083343587219718,-0.0696475455191816,51.26953125,-52.1189087621666,-60.7945565645875
0.106,-0.0930401473462902,-0.0753142258874329,51.7578125,-53.3677530572356,-60.3505688724433
0.107,-0.0920874591201498,-0.110397735930808,52.24609375,-55.5579575556224,-61.8888570324127
0.108,-0.0791618150516354,-0.16832867053028,52.734375,-53.5926069454498,-62.7806668733272
0.109,-0.0549601363515549,-0.228885714700244,53.22265625,-49.8447097503552,-57.3248617947408
0.11,-0.0225467488761474,-0.26724421131038,53.7109375,-46.4812066728985,-53.5513617475148
0.111,0.0129372225004223,-0.264377088852229,54.19921875,-44.7865264140121,-51.9921088039282
0.112,0.0451903238628062,-0.215114071755882,54.6875,-46.2270976585564,-53.4402752326239
0.113,0.0681254849509714,-0.131325376784937,55.17578125,-47.9313889032951,-55.5971102864359
0.114,0.0773642843380941,-0.039037416027927,55.6640625,-48.3559388721213,-56.2186121923117
0.115,0.0714031268889689,0.0303304470045105,56.15234375,-49.3227810089096,-56.9783161214071
0.116,0.0520449909590795,0.0523855943309959,56.640625,-48.0018809070743,-56.0544684300462
0.117,0.0238980018645263,0.0211776276912582,57.12890625,-47.3539323266159,-55.7177516588659
0.118,-0.00695566367288771,-0.0460670901375168,57.6171875,-47.9697805789143,-55.8950393321549
0.119,-0.0347286411382193,-0.114464264893627,58.10546875,-48.7366789991879,-55.7663108283924
0.12,-0.0555623993195513,-0.146080490427585,58.59375,-47.544829358774,-54.399130663503
0.121,-0.068446258376447,-0.117700631198393,59.08203125,-47.6770512042155,-55.7612329060069
0.122,-0.0750441639612149,-0.0337594659993635,59.5703125,-50.7332029425916,-60.4295108465997
0.123,-0.0784499538624351,0.0718831540978305,60.05859375,-52.5910261953968,-60.2833290234935
0.124,-0.0813661105912298,0.147122541982449,60.546875,-50.0303420245145,-56.8132045856788
0.125,-0.0845210776745689,0.142063192724859,61.03515625,-49.6266020088992,-56.0407169235514
0.126,-0.0860848109185679,0.0308229864331374,61.5234375,-51.3037579802605,-57.7483121299698
0.127,-0.0823924585606807,-0.174296762794928,62.01171875,-52.0706247082527,-58.1230333665416
0.128,-0.0696772329693681,-0.42247598863094,62.5,-53.2396513094976,-59.2183504725218
0.129,-0.046059546911746,-0.638702714118839,62.98828125,-53.0007115373036,-60.8273351945416
0.13,-0.0129265917364541,-0.748046967405276,63.4765625,-52.4519479756437,-59.5299503639858
0.131,0.0249222155816055,-0.701520452253162,63.96484375,-52.2437662883586,-58.5995095970298
0.132,0.0604952567314976,-0.494314315667382,64.453125,-50.4415508964693,-57.5279976973977
0.133,0.0867610604253238,-0.169305703869731,64.94140625,-49.0532174082022,-57.6979208917276
0.134,0.0988953796012296,0.196358188662132,65.4296875,-49.4629717887889,-58.5695369331788
0.135,0.0957348904878843,0.517105198698303,65.91796875,-52.5731775788123,-60.3974998203673
0.136,0.0798882642565702,0.727101526188499,66.40625,-53.9635147614494,-60.9692466465113
0.137,0.0565228579677014,0.799464382762304,66.89453125,-51.6773519539731,-58.8365304188621
0.138,0.031379952801418,0.749575477789596,67.3828125,-50.9336855775266,-58.0651217382512
0.139,0.00884785963630622,0.62280658712005,67.87109375,-51.5573819313738,-58.9652451716992
0.14,-0.00915960427400555,0.473226703435845,68.359375,-53.0574661486281,-59.4333368066012
0.141,-0.023152341564795,0.342617006611147,68.84765625,-52.9373218605456,-59.9485024644374
0.142,-0.0349738928568507,0.248007311575824,69.3359375,-53.0725144746244,-60.896585747399
0.143,-0.046224710553026,0.181778557477006,69.82421875,-51.290377613013,-59.3994666118919
0.144,-0.056940322779166,0.122654621409824,70.3125,-50.6437132748104,-58.1948890490561
0.145,-0.0651416780976962,0.0510745342093742,70.80078125,-50.7560441241663,-57.5965071114933
0.146,-0.0674683366316272,-0.0389365833099816,71.2890625,-50.3049538704182,-57.3384160587895
0.147,-0.0606023455237363,-0.136579951815545,71.77734375,-50.6146725069546,-57.6056777245475
0.148,-0.0428514230486966,-0.220221616469849,72.265625,-50.8920643457481,-57.2905316544248
0.149,-0.0152392860147697,-0.268843955518436,72.75390625,-55.1745787038325,-59.1388161036436
0.15,0.0182965446286443,-0.273390466172368,73.2421875,-52.9282051743251,-57.7236547157703
0.151,0.0516500769232052,-0.242556778855035,73.73046875,-51.7669577979716,-57.7167790862388
0.152,0.0780047326705595,-0.19985270516896,74.21875,-51.0987784845678,-58.4606898926154
0.153,0.0916127481012045,-0.172716099951798,74.70703125,-50.320569901294,-58.3002380787982
0.154,0.089428497356783,-0.178619292935711,75.1953125,-50.6491169959349,-59.2791190349054
0.155,0.0721161100887433,-0.215204342222276,75.68359375,-49.9456562816277,-58.6914731625411
0.156,0.0440508806881881,-0.25993116892763,76.171875,-49.9166955599765,-58.6734432615403
0.157,0.012187888861168,-0.280094372263198,76.66015625,-51.2084443830077,-59.9074550471108
0.158,-0.0159593594771705,-0.248892657922523,77.1484375,-50.8920645749247,-60.5850796375753
0.159,-0.0346256341263928,-0.160144168848589,77.63671875,-52.6373476098418,-61.3398976837778
