Time_s,GT_Amplitude,Measured_Amplitude,Frequency_Hz,GT_PSD_dBHz,Measured_PSD_dBHz
0.115,0.080605472933827,3.1352118730529,14.0380859375,-44.2785493142219,-52.722377881454
0.116,0.814006879372138,3.31600675342118,14.16015625,-50.9356465872387,-56.7408226187802
0.117,1.40582339174918,3.50996289143823,14.2822265625,-49.6942606339937,-56.5902881410478
0.118,1.80720588131546,3.70103054665675,14.404296875,-48.9487165200043,-54.6816375320017
0.119,1.98793511414569,3.87448065226402,14.5263671875,-48.8531414257598,-57.6989644368862
0.12,1.93902941892859,4.01798111129239,14.6484375,-47.9183959500728,-58.189620833149
0.121,1.67327438720153,4.12226310055278,14.7705078125,-49.588729160451,-56.8668404113999
0.122,1.22365372032803,4.18144506966086,14.892578125,-48.6339300465388,-55.5289048062101
0.123,0.63986801593966,4.19312380134597,15.0146484375,-47.2081305108283,-54.9942072349041
0.124,-0.0166872395667306,4.15833712067016,15.13671875,-46.3857732355223,-54.3696834151936
0.125,-0.678971024294738,4.08145241170515,15.2587890625,-45.7084976214933,-54.1494404658689
0.126,-1.28077373896016,3.96995524745218,15.380859375,-47.308464010352,-56.2932325153639
0.127,-1.76299725781967,3.83404025488145,15.5029296875,-49.4408123592573,-57.1919693567482
0.128,-2.07914774216516,3.6858862460958,15.625,-50.1180447830785,-57.8538267862474
0.129,-2.19953615942156,3.53855325063196,15.7470703125,-48.5802925270794,-57.4500872814839
0.13,-2.11380843606458,3.4045536845859,15.869140625,-50.5601126636539,-58.0909660070245
0.131,-1.83158634395519,3.29427477650967,15.9912109375,-50.4542428603945,-57.3855266517574
0.132,-1.38118025304367,3.21451379114989,16.11328125,-48.151153729265,-56.0131246947988
0.133,-0.806520535286434,3.16740327325141,16.2353515625,-46.2332294734409,-55.0805355805113
0.134,-0.162627018071563,3.14994830146746,16.357421875,-46.2469937614333,-54.8024868849102
0.135,0.489923215833688,3.15429041851744,16.4794921875,-48.4257750945514,-55.2262231817321
0.136,1.09097524702116,3.16868647004711,16.6015625,-48.0098861519179,-55.6004437082927
0.137,1.58663063946572,3.17907531668863,16.7236328125,-46.3471957676595,-54.8537091300751
0.138,1.93436614923621,3.1710133629922,16.845703125,-46.5628323286169,-55.8447814036692
0.139,2.10694509585358,3.13169275381157,16.9677734375,-47.548057630549,-56.5667614828218
0.14,2.09475662407946,3.05172529897619,17.08984375,-47.4198714425675,-55.510844190351
0.141,1.90637900632891,2.92640327203419,17.2119140625,-47.166756612047,-54.7767701693916
0.142,1.567340630366,2.75624638098164,17.333984375,-47.8164732726961,-55.5094916904595
0.143,1.11722869510283,2.54679183767888,17.4560546875,-47.5185344744788,-54.9940035620284
0.144,0.605454780816824,2.30773459654536,17.578125,-47.9531556624539,-54.7256464974819
0.145,0.0861142474593344,2.05162953782754,17.7001953125,-48.2430369569105,-54.8747119728423
0.146,-0.387539118659519,1.79240266685645,17.822265625,-49.5530647882397,-56.4258897877485
0.147,-0.768449440590034,1.54389397916517,17.9443359375,-51.0499198053303,-57.685924160895
0.148,-1.0204158005719,1.31859921184554,18.06640625,-50.0168450122883,-56.9783757876008
0.149,-1.12159628812729,1.12671315896427,18.1884765625,-49.0842742964579,-57.0910196098974
0.15,-1.06652594298363,0.975512612489019,18.310546875,-46.895381893364,-55.8159073250855
0.151,-0.866466832865113,0.869060442764629,18.4326171875,-46.4302197475061,-56.1122382702365
0.152,-0.548075064486001,0.808172586157779,18.5546875,-49.7882128039481,-61.83861331337
0.153,-0.150535333784339,0.790570434181084,18.6767578125,-50.5338365605937,-58.0855861514273
0.154,0.278536623928907,0.811145870514423,18.798828125,-48.3037284586162,-55.4906655243648
0.155,0.688003563843676,0.862299584048677,18.9208984375,-46.97392850733,-55.6267084047156
0.156,1.02843010521413,0.934366156586267,19.04296875,-48.6052233630362,-56.5100204455139
0.157,1.25709393574349,1.01618239908177,19.1650390625,-49.1451512954676,-57.1243069183304
0.158,1.34228481291458,1.09585794168954,19.287109375,-49.6555935302334,-57.6163423272203
0.159,1.26646894191814,1.16176118218688,19.4091796875,-51.029602413391,-59.0591047048359
0.16,1.02801684501877,1.20365825353712,19.53125,-49.5607152951544,-57.2358703942126
0.161,0.641341838954497,1.21386970416451,19.6533203125,-47.7054357990394,-55.7821715109084
0.162,0.135455779714023,1.18826598675938,19.775390625,-48.5110000340245,-56.8190872320503
0.163,-0.448898858457953,1.1269197223905,19.8974609375,-49.7644567775437,-58.5432034125417
0.164,-1.06324985387885,1.03426873089572,20.01953125,-49.65016581302,-59.0874557909998
0.165,-1.65613578035596,0.918714252635521,20.1416015625,-48.7602811398501,-56.9637890591377
0.166,-2.17812473640666,0.791674427170805,20.263671875,-46.4295112241506,-55.2624166332449
0.167,-2.58662121944428,0.666213279368581,20.3857421875,-47.7640719847326,-55.1935059386103
0.168,-2.84998786541939,0.555443483960299,20.5078125,-45.1457262803382,-55.2046549981748
0.169,-2.95057361782207,0.470938687841877,20.6298828125,-46.2616294711354,-57.9397398005431
0.17,-2.88634883873841,0.4213817486013,20.751953125,-47.6658551831056,-58.1577118987353
0.171,-2.67098946415133,0.41162079793914,20.8740234375,-47.0537755299346,-54.9944493210942
0.172,-2.33241020237472,0.442220664419137,20.99609375,-47.2520984182975,-56.1420238426426
0.173,-1.90990327409412,0.509512428827362,21.1181640625,-47.1912861401521,-56.9816778816208
0.174,-1.45017781698003,0.606084240769611,21.240234375,-49.3503733594256,-57.3565352951717
