Time_s,BCG_Orig,Constant_Orig,Clean_Difference,Alt_BCG,Alt_Const,Noisy_Alt_BCG,Noisy_Alt_Const,BCG_Interf,Const_Interf,Recovered,Zoom1_Time_s,Zoom1_BCG,Zoom1_Const,Zoom2_Time_s,Zoom2_Noisy_BCG,Zoom2_Noisy_Const
0.422440448808976,0.206897346135048,0.01,0.196897346135048,,0.01,,0.0805274020990717,0.275799723251843,0.0805274020990717,0.178974253372163,,,,,,
0.422472449448989,0.206913218050934,0.01,0.196913218050934,,0.01,,0.0780039889128794,0.278249380504335,0.0780039889128794,0.180019836799747,,,,,,
0.422504450089002,0.20692910098001,0.01,0.19692910098001,,0.01,,0.0682475539895646,0.271234269609307,0.0682475539895646,0.188298441964449,,,,,,
0.422536450729015,0.206944994920105,0.01,0.196944994920105,,0.01,,0.0655107784655893,0.263842710237326,0.0655107784655893,0.189557387729814,,,,,,
0.422568451369027,0.206960899869027,0.01,0.196960899869027,,0.01,,0.0555238774095178,0.254199582755062,0.0555238774095178,0.198066459027277,,,,,,
0.42260045200904,0.206976815824567,0.01,0.196976815824567,0.206976815824567,,0.252112506678181,,0.252112506678181,0.0531966153411844,0.200838802947857,,,,,,
0.422632452649053,0.206992742784499,0.01,0.196992742784499,0.206992742784499,,0.249154933643915,,0.249154933643915,0.0507907003183967,0.202131403592768,,,,,,
0.422664453289066,0.207008680746579,0.01,0.197008680746579,0.207008680746579,,0.244797994002499,,0.244797994002499,0.0431199738313476,0.202024637630545,,,,,,
0.422696453929079,0.207024629708543,0.01,0.197024629708543,0.207024629708543,,0.239595271123984,,0.239595271123984,0.0432832412620561,0.201072088431216,,,,,,
0.422728454569091,0.207040589668112,0.01,0.197040589668112,0.207040589668112,,0.24062862553009,,0.24062862553009,0.0403970667881078,0.2063556165165,,,,,,
0.422760455209104,0.207056560622987,0.01,0.197056560622987,0.207056560622987,,0.224086764937347,,0.224086764937347,0.0240023000871272,0.19406392960295,,,,,,
0.422792455849117,0.207072542570851,0.01,0.197072542570851,0.207072542570851,,0.216789408105202,,0.216789408105202,0.020683003954013,0.19101674644999,,,,,,
0.42282445648913,0.20708853550937,0.01,0.19708853550937,0.20708853550937,,0.226350810321019,,0.226350810321019,0.02925878874381,0.204828322345,,,,,,
0.422856457129143,0.20710453943619,0.01,0.19710453943619,0.20710453943619,,0.22004298409932,,0.22004298409932,0.0247677545079799,0.20277066980248,,,,,,
0.422888457769155,0.207120554348942,0.01,0.197120554348942,0.207120554348942,,0.219015331771406,,0.219015331771406,0.0174105772758247,0.20599319115375,,,,,,
0.422920458409168,0.207136580245237,0.01,0.197136580245237,0.207136580245237,,0.199686832887755,,0.199686832887755,0.00532519675461941,0.190914865949292,,,,,,
0.422952459049181,0.207152617122667,0.01,0.197152617122667,0.207152617122667,,0.201634694344873,,0.201634694344873,0.00339297347639662,0.197112901085589,,,,,,
0.422984459689194,0.207168664978807,0.01,0.197168664978807,0.207168664978807,,0.199701123688426,,0.199701123688426,0.00249058891019992,0.199429504108335,,,,,,
0.423016460329207,0.207184723811215,0.01,0.197184723811215,0.207184723811215,,0.184863422181267,,0.184863422181267,-0.00894699660341157,0.188841976280354,,,,,,
0.423048460969219,0.207200793617429,0.01,0.197200793617429,0.207200793617429,,0.194232107210988,,0.194232107210988,-0.00549446432655162,0.202460834989261,,,,,,
0.423080461609232,0.20721687439497,0.01,0.19721687439497,0.20721687439497,,0.174744092466941,,0.174744092466941,-0.019144970428977,0.187222993924406,,,,,,
0.423112462249245,0.20723296614134,0.01,0.19723296614134,0.20723296614134,,0.179053929784566,,0.179053929784566,-0.0120817159597434,0.19578300492121,,,,,,
0.423144462889258,0.207249068854023,0.01,0.197249068854023,0.207249068854023,,0.179155447984,,0.179155447984,-0.0205172755551918,0.200134696799836,,,,,,
0.423176463529271,0.207265182530485,0.01,0.197265182530485,0.207265182530485,,0.169363608608613,,0.169363608608613,-0.0244290572273184,0.194593031103634,,,,,,
0.423208464169283,0.207281307168174,0.01,0.197281307168174,0.207281307168174,,0.164443535244783,,0.164443535244783,-0.0329491454871692,0.193923131418983,,,,,,
0.423240464809296,0.207297442764519,0.01,0.197297442764519,0.207297442764519,,0.162469741252939,,0.162469741252939,-0.0370930440187286,0.196199511106331,,,,,,
0.423272465449309,0.207313589316932,0.01,0.197313589316932,0.207313589316932,,0.154172359232334,,0.154172359232334,-0.0454837474707291,0.192152302764912,,,,,,
0.423304466089322,0.207329746822805,0.01,0.197329746822805,0.207329746822805,,0.148088982375963,,0.148088982375963,-0.0455149138481193,0.190319099587727,,,,,,
0.423336466729335,0.207345915279514,0.01,0.197345915279514,0.207345915279514,,0.152126148775702,,0.152126148775702,-0.0447635688239003,0.198606439666651,,,,,,
0.423368467369347,0.207362094684414,0.01,0.197362094684414,0.207362094684414,,0.128729647453646,,0.128729647453646,-0.0635843239946546,0.179460112023781,,,,,,
0.42340046800936,0.207378285034844,0.01,0.197378285034844,0.207378285034844,,0.137362485361173,,0.137362485361173,-0.0541406378149193,0.192343123610493,,,,,,
0.423432468649373,0.207394486328123,0.01,0.197394486328123,0.207394486328123,,0.12317877840732,,0.12317877840732,-0.0706582058405674,0.182409590335826,,,,,,
0.423464469289386,0.207410698561553,0.01,0.197410698561553,0.207410698561553,,0.131977481316625,,0.131977481316625,-0.0642921183392613,0.195458466924324,,,,,,
0.423496469929399,0.207426921732417,0.01,0.197426921732417,0.207426921732417,,0.127762404254014,,0.127762404254014,-0.0683066441677713,0.19549356354089,,,,,,
0.423528470569411,0.207443155837979,0.01,0.197443155837979,0.207443155837979,,0.118393262886205,,0.118393262886205,-0.0776774427715061,0.190374595852268,,,,,,
0.423560471209424,0.207459400875485,0.01,0.197459400875485,0.207459400875485,,0.110919293969761,,0.110919293969761,-0.0791526604554012,0.187150800615016,,,,,,
0.423592471849437,0.207475656842165,0.01,0.197475656842165,,0.01,,-0.0804816803244334,0.11429990381676,-0.0804816803244334,0.192398107610174,,,,,,
0.42362447248945,0.207491923735226,0.01,0.197491923735226,,0.01,,-0.0866630379889122,0.110820430263422,-0.0866630379889122,0.199576598590637,,,,,,
0.423656473129463,0.20750820155186,0.01,0.19750820155186,,0.01,,-0.0798945090288562,0.116179213073097,-0.0798945090288562,0.193805202946563,,,,,,
0.423688473769475,0.207524490289239,0.01,0.197524490289239,,0.01,,-0.0871058153625506,0.104664982361865,-0.0871058153625506,0.202013642596238,,,,,,
0.423720474409488,0.207540789944517,0.01,0.197540789944517,,0.01,,-0.0850614750468892,0.110238024804539,-0.0850614750468892,0.20096643559656,,,,,,
0.423752475049501,0.207557100514831,0.01,0.197557100514831,,0.01,,-0.0788647312431124,0.120025200483911,-0.0788647312431124,0.195766825108765,,,,,,
0.423784475689514,0.207573421997297,0.01,0.197573421997297,,0.01,,-0.0959348489533717,0.0987569610015961,-0.0959348489533717,0.213834076135007,,,,,,
0.423816476329527,0.207589754389013,0.01,0.197589754389013,,0.01,,-0.0820273058353878,0.115983174036371,-0.0820273058353878,0.200923666333005,,,,,,
