,,,,,,50-70,,70-90,,90-110,,110-130,
ECG RR interval,BCG RR interval,,Mean interval,Difference,,Accuracy,PCC,Accuracy,PCC,Accuracy,PCC,Accuracy,PCC
0.732,0.735,,0.7335,-0.003,,,,,,,,,
0.712,0.715,,0.7135,-0.003,,,,,,,,,
0.712,0.705,,0.7085,0.007,,,,,,,,,
0.754,0.74,,0.747,0.014,,,,,,,,,
0.788,0.78,,0.784,0.008,,,,,,,,,
0.794,0.785,,0.7895,0.009,,,,,,,,,
0.85,0.84,,0.845,0.01,,,,,,,,,
0.852,0.855,,0.8535,-0.003,,,,,,,,,
0.87,0.85,,0.86,0.02,,,,,,,,,
0.912,0.91,,0.911,0.002,,,,,,,,,
0.93,0.915,,0.9225,0.015,,,,,,,,,
0.928,0.935,,0.9315,-0.007,,,,,,,,,
0.954,0.94,,0.947,0.014,,,,,,,,,
0.926,0.915,,0.9205,0.011,,,,,,,,,
0.892,0.89,,0.891,0.002,,,,,,,,,
0.906,0.89,,0.898,0.016,,,,,,,,,
0.894,0.89,,0.892,0.004,,,,,,,,,
0.89,0.865,,0.8775,0.025,,,,,,,,,
0.832,0.845,,0.8385,-0.013,,,,,,,,,
0.93,0.91,,0.92,0.02,,,,,,,,,
0.91,0.9,,0.905,0.01,,,,,,,,,
0.932,0.915,,0.9235,0.017,,,,,,,,,
0.948,0.955,,0.9515,-0.007,,,,,,,,,
0.928,0.915,,0.9215,0.013,,,,,,,,,
0.914,0.905,,0.9095,0.009,,,,,,,,,
0.89,0.885,,0.8875,0.005,,,,,,,,,
0.848,0.84,,0.844,0.008,,,,,,,,,
0.794,0.78,,0.787,0.014,,,,,,,,,
0.754,0.76,,0.757,-0.006,,,,,,,,,
0.79,0.78,,0.785,0.01,,,,,,,,,
0.846,0.85,,0.848,-0.004,,,,,,,,,
0.882,0.86,,0.871,0.022,,,,,,,,,
0.884,0.84,,0.862,0.044,,,,,,,,,
0.844,0.84,,0.842,0.004,,,,,,,,,
0.884,0.85,,0.867,0.034,,,,,,,,,
0.882,0.87,,0.876,0.012,,,,,,,,,
0.904,0.88,,0.892,0.024,,,,,,,,,
0.908,0.895,,0.9015,0.013,,,,,,,,,
0.924,0.89,,0.907,0.034,,,,,,,,,
0.908,0.875,,0.8915,0.033,,,,,,,,,
0.904,0.885,,0.8945,0.019,,,,,,,,,
0.886,0.88,,0.883,0.006,,,,,,,,,
0.942,0.915,,0.9285,0.027,,,,,,,,,
0.928,0.89,,0.909,0.038,,,,,,,,,
0.864,0.85,,0.857,0.014,,,,,,,,,
0.864,0.85,,0.857,0.014,,,,,,,,,
0.844,0.81,,0.827,0.034,,,,,,,,,
0.846,0.825,,0.8355,0.021,,,,,,,,,
0.824,0.82,,0.822,0.004,,,,,,,,,
0.842,0.825,,0.8335,0.017,,,,,,,,,
0.864,0.84,,0.852,0.024,,,,,,,,,
0.884,0.86,,0.872,0.024,,,,,,,,,
0.868,0.85,,0.859,0.018,,,,,,,,,
0.878,0.855,,0.8665,0.023,,,,,,,,,
0.866,0.845,,0.8555,0.021,,,,,,,,,
0.864,0.825,,0.8445,0.039,,,,,,,,,
0.824,0.82,,0.822,0.004,,,,,,,,,
0.842,0.81,,0.826,0.032,,,,,,,,,
