Time_s,Ground_Truth_Amplitude,Measured_Amplitude,Frequency_Hz,Measured_PSD_dBHz,Ground_Truth_PSD_dBHz
0.17,0.4238265754315,0.520227184381048,83.0078125,-84.6251790353343,-74.7626041279618
0.171,0.406367692764037,0.519539435130393,83.49609375,-78.547786646603,-76.7985769205809
0.172,0.412761643438663,0.518867777739953,83.984375,-72.8430937197677,-76.7260103406515
0.173,0.433498912052363,0.518211719387054,84.47265625,-73.4249433474981,-78.77062358636
0.174,0.401475430233707,0.51757072781841,84.9609375,-81.5759757808639,-76.7969362740889
0.175,0.419579647336563,0.516944238653372,85.44921875,-80.8078298212686,-75.6924608377553
0.176,0.420106261009067,0.516331662779423,85.9375,-73.4180056795925,-74.9998040621822
0.177,0.394992377318057,0.515732393785129,86.42578125,-73.1942339673577,-75.6789806316154
0.178,0.398348153908143,0.515145815370256,86.9140625,-79.4914828283119,-78.9391694516142
0.179,0.421521256171417,0.514571308669757,87.40234375,-83.8628306585877,-78.8218281771359
0.18,0.41945126466707,0.514008259429026,87.890625,-74.129772550338,-74.5857454370824
0.181,0.415744419426563,0.513456064973027,88.37890625,-73.0918117619255,-76.7985024631141
0.182,0.424535944542623,0.51291414092194,88.8671875,-77.970034408467,-72.1628892138605
0.183,0.443769899411403,0.512381927619507,89.35546875,-88.4889108084538,-74.5441343521217
0.184,0.42607194039385,0.511858896254973,89.84375,-74.9967322774408,-74.0319792247547
0.185,0.440563616892773,0.51134455467303,90.33203125,-73.1092141790298,-75.427640067856
0.186,0.44548283763722,0.510838452877751,90.8203125,-76.8250402984357,-74.9136039283456
0.187,0.441940370960207,0.510340188246646,91.30859375,-97.4475345066192,-76.4892414753172
0.188,0.424142544452807,0.509849410480536,91.796875,-76.0463297792154,-78.3314177819533
0.189,0.43754758742948,0.50936582632375,92.28515625,-73.2419112971333,-77.1947530131866
0.19,0.410462323357837,0.508889204095799,92.7734375,-75.9554581151659,-78.0376591190721
0.191,0.408123509888703,0.50841937807886,93.26171875,-95.351254551048,-80.7329976235074
0.192,0.409933832923307,0.507956252804733,93.75,-77.3203745905909,-78.7493761166116
0.193,0.41235502767121,0.507499807281615,94.23828125,-73.4887589991837,-77.9523522807891
0.194,0.395358997355087,0.507050099196392,94.7265625,-75.3010529344711,-76.307403858024
0.195,0.397277738104507,0.506607269123473,95.21484375,-87.9906851480858,-77.7541818574379
0.196,0.401338480784873,0.506171544767645,95.703125,-78.8852565388025,-78.4275877869449
0.197,0.415452610267037,0.505743245266647,96.19140625,-73.8518516586433,-75.7246190364341
0.198,0.430446833908553,0.505322785579008,96.6796875,-74.8236435278969,-75.594628818701
0.199,0.409014569507367,0.504910680982553,97.16796875,-84.1291059403449,-78.283928525946
0.2,0.421446688437977,0.504507551705793,97.65625,-80.8538059061346,-78.7643258950263
0.201,0.418748772278257,0.504114127706361,98.14453125,-74.3367413682434,-74.3400630211092
0.202,0.43953559123999,0.503731253598776,98.6328125,-74.4981503726936,-75.3722824438495
0.203,0.44288802415715,0.503359893722427,99.12109375,-81.6210354503821,-74.392561190708
0.204,0.426457287452077,0.503001137333449,99.609375,-83.4390583967542,-74.9404847648727
0.205,0.43132316821267,0.502656203901,100.09765625,-74.953076136021,-74.8004088503173
0.206,0.42134756441966,0.502326448486619,100.5859375,-74.3079238404278,-73.2361470965806
0.207,0.43384622578232,0.502013367181168,101.07421875,-79.8306557207451,-77.6095395134853
0.208,0.41466011337889,0.501718602565613,101.5625,-87.117476017378,-78.1833128448034
0.209,0.41178936633019,0.501443949149264,102.05078125,-75.7158259283134,-74.7141703699481
0.21,0.42828851212271,0.501191358722444,102.5390625,-74.2421619209636,-76.6518504348235
0.211,0.399614152866967,0.500962945540755,103.02734375,-78.4932772009597,-77.0912887458137
0.212,0.42262163844375,0.500760991237511,103.515625,-93.3209048655818,-75.6809973965098
0.213,0.40507601315373,0.50058794934339,104.00390625,-76.647462138734,-74.257235664714
0.214,0.4128154861315,0.500446449281508,104.4921875,-74.2944517577029,-74.2870621303849
0.215,0.43167075468552,0.5003392997033,104.98046875,-77.4745948015853,-76.4118322641387
0.216,0.406498276571557,0.500269491034223,105.46875,-102.198708414691,-77.750974242286
0.217,0.414084739306203,0.500240197106087,105.95703125,-77.7818564503224,-76.7691725714591
0.218,0.40713500260342,0.500254775763198,106.4453125,-74.4619820129221,-75.2938208195628
0.219,0.422400858689673,0.500316768341786,106.93359375,-76.6977804992303,-76.7857784014144
0.22,0.417588579814313,0.500429897935401,107.421875,-91.9545204420719,-78.6711375379399
0.221,0.438588692332873,0.500598066370887,107.91015625,-79.171599982244,-75.848109468802
0.222,0.43430616009932,0.50082534982799,108.3984375,-74.7452105461571,-73.4390485379891
0.223,0.43758858330479,0.501115993040204,108.88671875,-76.1153842684891,-76.3531338426669
0.224,0.428554809985357,0.501474402017719,109.375,-86.8455115902054,-77.9315983794852
0.225,0.435773200719147,0.501905135238962,109.86328125,-80.9028794035281,-76.0243275001954
0.226,0.43797290988207,0.502412893266953,110.3515625,-75.1479036954967,-74.2940001156003
0.227,0.42549931760229,0.503002506759956,110.83984375,-75.6966678817182,-76.3420208247569
0.228,0.42830202921515,0.503678922861122,111.328125,-83.7800973521575,-75.3826579109851
0.229,0.429571519950513,0.504447189968284,111.81640625,-83.1294400522719,-75.4590923506878
0.23,0.43442901751824,0.505312440904023,112.3046875,-75.677556754144,-75.8662627547336
0.231,0.40605581289489,0.506279874529253,112.79296875,-75.4212492568248,-75.8381150267053
0.232,0.403300886767223,0.507354735870916,113.28125,-81.6659249540797,-75.6678541226239
0.233,0.39621342459217,0.508542294862915,113.76953125,-86.1645678719082,-78.7990116140323
0.234,0.41607993820763,0.509847823824954,114.2578125,-76.3463032067606,-73.9929024771667
0.235,0.406688986001487,0.51127657382393,114.74609375,-75.2756720993009,-88.0944142567704
